category,url,title,views,tags,title_clean,title_tokens,title_lemmas,named_entities
В мире,https://ria.ru/20250429/pakistan-2013959082.html,министр обороны пакистана оценил вероятность эскалации конфликта с индией,2971,"['В мире', 'Пакистан', 'Индия', 'Кашмир']",министр обороны пакистана оценил вероятность эскалации конфликта индией,"['министр', 'обороны', 'пакистана', 'оценил', 'вероятность', 'эскалации', 'конфликта', 'индией']","['министр', 'оборона', 'пакистан', 'оценить', 'вероятность', 'эскалация', 'конфликт', 'индия']","[('пакистана', 'LOC')]"
В мире,https://ria.ru/20250429/ispaniya-2013958256.html,полиция испании предупредила о попытках мошенничества на фоне блэкаута,1511,"['В мире', 'ЖКХ', 'Испания', 'Португалия', 'Франция', 'Антониу Кошта']",полиция испании предупредила попытках мошенничества фоне блэкаута,"['полиция', 'испании', 'предупредила', 'попытках', 'мошенничества', 'фоне', 'блэкаута']","['полиция', 'испания', 'предупредить', 'попытка', 'мошенничество', 'фон', 'блэкаута']","[('испании', 'LOC')]"
В мире,https://ria.ru/20250429/garvard-2013958111.html,в сша расследуют сообщения о расовой дискриминации в гарварде,1166,"['В мире', 'США', 'Барак Обама', 'Гарвардский университет']",сша расследуют сообщения расовой дискриминации гарварде,"['сша', 'расследуют', 'сообщения', 'расовой', 'дискриминации', 'гарварде']","['сша', 'расследовать', 'сообщение', 'расовый', 'дискриминация', 'гарвард']","[('сша', 'LOC')]"
В мире,https://ria.ru/20250429/ispaniya-2013957970.html,в испании восстановили более 60 процентов электроснабжения,1931,"['В мире', 'ЖКХ', 'Испания', 'Португалия', 'Франция', 'Антониу Кошта']",испании восстановили процентов электроснабжения,"['испании', 'восстановили', 'процентов', 'электроснабжения']","['испания', 'восстановить', 'процент', 'электроснабжение']","[('испании', 'LOC')]"
В мире,https://ria.ru/20250429/kiev-2013957572.html,сми: в киеве прогремели взрывы,70088,"['В мире', 'Киев', 'Киевская область', 'Дмитрий Песков']",сми киеве прогремели взрывы,"['сми', 'киеве', 'прогремели', 'взрывы']","['сми', 'киев', 'прогреметь', 'взрыв']","[('сми', 'ORG'), ('киеве', 'LOC')]"
В мире,https://ria.ru/20250429/koreya-2013956701.html,"""это невероятно"": боевики всу остались в шоке от северокорейцев",88123,"['В мире', 'Курская область', 'Россия', 'Пхеньян', 'Владимир Путин']",это невероятно боевики всу остались шоке северокорейцев,"['это', 'невероятно', 'боевики', 'всу', 'остались', 'шоке', 'северокорейцев']","['это', 'невероятный', 'боевик', 'всу', 'остаться', 'шок', 'северокореец']","[('всу', 'ORG')]"
В мире,https://ria.ru/20250429/ispaniya-2013956309.html,аэропорты испании работали на резервном питании из-за сбоя электроэнергии,465,"['В мире', 'Испания', 'Португалия', 'Франция', 'Антониу Кошта']",аэропорты испании работали резервном питании сбоя электроэнергии,"['аэропорты', 'испании', 'работали', 'резервном', 'питании', 'сбоя', 'электроэнергии']","['аэропорт', 'испания', 'работать', 'резервный', 'питание', 'сбой', 'электроэнергия']","[('испании', 'LOC')]"
В мире,https://ria.ru/20250429/ozkho-2013829408.html,международный день основания организации по запрещению химического оружия,63,"['В мире', 'Справки', 'Организация по запрещению химического оружия']",международный день основания организации запрещению химического оружия,"['международный', 'день', 'основания', 'организации', 'запрещению', 'химического', 'оружия']","['международный', 'день', 'основание', 'организация', 'запрещение', 'химический', 'оружие']",[]
В мире,https://ria.ru/20250429/tramp-2013955376.html,"трамп трезво оценивает ситуацию на украине, считают эксперты",2990,"['В мире', 'Россия', 'Украина', 'США', 'Дональд Трамп']",трамп трезво оценивает ситуацию украине считают эксперты,"['трамп', 'трезво', 'оценивает', 'ситуацию', 'украине', 'считают', 'эксперты']","['трамп', 'трезво', 'оценивать', 'ситуация', 'украина', 'считать', 'эксперт']","[('трамп', 'PER'), ('украине', 'LOC')]"
В мире,https://ria.ru/20250429/kiev-2013955158.html,сми: киев подготовил план б на случай провала переговоров,41863,"['В мире', 'Киев', 'Украина', 'Рустем Умеров', 'Владимир Зеленский']",сми киев подготовил план б случай провала переговоров,"['сми', 'киев', 'подготовил', 'план', 'б', 'случай', 'провала', 'переговоров']","['сми', 'киев', 'подготовить', 'план', 'б', 'случай', 'провал', 'переговоров']","[('сми', 'ORG'), ('киев', 'LOC')]"
В мире,https://ria.ru/20250429/slutskij-2013953319.html,слуцкий назвал подлостью попытки фрг помешать нечаеву почтить память солдат,3200,"['В мире', 'Россия', 'Германия', 'Берлин (город)', 'Леонид Слуцкий (политик)']",слуцкий назвал подлостью попытки фрг помешать нечаеву почтить память солдат,"['слуцкий', 'назвал', 'подлостью', 'попытки', 'фрг', 'помешать', 'нечаеву', 'почтить', 'память', 'солдат']","['слуцкий', 'назвать', 'подлость', 'попытка', 'фрг', 'помешать', 'нечаев', 'почтить', 'память', 'солдат']","[('слуцкий', 'PER'), ('фрг', 'LOC'), ('нечаеву', 'PER')]"
В мире,https://ria.ru/20250428/aeroport-2013951741.html,в аэропорту ньюарка задерживают рейсы из-за сбоя оборудования,964,"['В мире', 'Ньюарк', 'Нью-Джерси', 'США', 'FAA']",аэропорту ньюарка задерживают рейсы сбоя оборудования,"['аэропорту', 'ньюарка', 'задерживают', 'рейсы', 'сбоя', 'оборудования']","['аэропорт', 'ньюарка', 'задерживать', 'рейс', 'сбой', 'оборудование']",[]
В мире,https://ria.ru/20250428/makron-2013950580.html,во франции обрушились на макрона из-за слов о россии,7518,"['В мире', 'Франция', 'Россия', 'Украина', 'Эммануэль Макрон']",франции обрушились макрона слов россии,"['франции', 'обрушились', 'макрона', 'слов', 'россии']","['франция', 'обрушиться', 'макрона', 'слово', 'россия']","[('франции', 'LOC'), ('макрона', 'PER'), ('россии', 'LOC')]"
В мире,https://ria.ru/20250428/lavrov-2013950886.html,лавров проводит переговоры с главой мид таиланда,623,"['В мире', 'Россия', 'Таиланд', 'Рио-де-Жанейро (город)', 'Сергей Лавров']",лавров проводит переговоры главой мид таиланда,"['лавров', 'проводит', 'переговоры', 'главой', 'мид', 'таиланда']","['лавров', 'проводить', 'переговоры', 'глава', 'мид', 'таиланд']","[('лавров', 'PER'), ('мид', 'ORG'), ('таиланда', 'LOC')]"
В мире,https://ria.ru/20250428/belgrad-2013943511.html,в белграде студенты прекратили блокаду здания радио и телевидения,1537,"['В мире', 'Сербия', 'Белград (город)', 'Турция', 'Московская биржа']",белграде студенты прекратили блокаду здания радио телевидения,"['белграде', 'студенты', 'прекратили', 'блокаду', 'здания', 'радио', 'телевидения']","['белград', 'студент', 'прекратить', 'блокада', 'здание', 'радио', 'телевидение']","[('белграде', 'LOC')]"
